iter	PairLogit	PrecisionAt:top=1	PrecisionAt:top=3	AverageGain:top=10
0	0.666029463	0.6545454545	0.4121212121	0.3288600289
1	0.6391256688	0.7090909091	0.4181818182	0.3288600289
2	0.6129146921	0.7272727273	0.4242424242	0.3306782107
3	0.5942327199	0.7090909091	0.4242424242	0.3306782107
4	0.5752024632	0.7272727273	0.4303030303	0.3306782107
5	0.5567500237	0.7636363636	0.4303030303	0.3306782107
6	0.5433274113	0.7636363636	0.4363636364	0.3324963925
7	0.525522613	0.7818181818	0.4424242424	0.3324963925
8	0.5102578216	0.7818181818	0.4424242424	0.3324963925
9	0.4940009298	0.8	0.4424242424	0.3324963925
10	0.4800224544	0.8	0.4424242424	0.3324963925
11	0.4682368824	0.8	0.4363636364	0.3324963925
12	0.4541899984	0.8	0.4363636364	0.3324963925
13	0.44126636	0.8	0.4363636364	0.3324963925
14	0.4311105389	0.8181818182	0.4363636364	0.3324963925
15	0.4193525514	0.8	0.4363636364	0.3324963925
16	0.4086539423	0.8	0.4363636364	0.3324963925
17	0.3978823641	0.8	0.4363636364	0.3324963925
18	0.3880756012	0.8	0.4363636364	0.3324963925
19	0.3788003606	0.8181818182	0.4363636364	0.3324963925
20	0.3707082916	0.8181818182	0.4363636364	0.3324963925
21	0.3627311359	0.8181818182	0.4363636364	0.3324963925
22	0.3549090124	0.8181818182	0.4363636364	0.3324963925
23	0.3484677905	0.8	0.4363636364	0.3324963925
24	0.3419235443	0.8	0.4363636364	0.3324963925
25	0.3356022975	0.8	0.4363636364	0.3324963925
26	0.3292947358	0.8	0.4363636364	0.3324963925
27	0.3223076151	0.8	0.4363636364	0.3324963925
28	0.315986916	0.8	0.4363636364	0.3324963925
29	0.3096237939	0.8	0.4363636364	0.3324963925
30	0.3040016503	0.8	0.4363636364	0.3324963925
31	0.2986735605	0.8	0.4363636364	0.3324963925
32	0.2933043335	0.8	0.4363636364	0.3324963925
33	0.2889135559	0.8	0.4424242424	0.3324963925
34	0.2837547304	0.8	0.4424242424	0.3324963925
35	0.2801629273	0.8	0.4424242424	0.3324963925
36	0.2761088314	0.8	0.4424242424	0.3324963925
37	0.272182676	0.8	0.4424242424	0.3324963925
38	0.2677695995	0.8181818182	0.4424242424	0.3324963925
39	0.2650715408	0.8181818182	0.4424242424	0.3324963925
40	0.261284299	0.8181818182	0.4424242424	0.3324963925
41	0.2595392279	0.8181818182	0.4424242424	0.3324963925
42	0.2557417796	0.8181818182	0.4424242424	0.3324963925
43	0.2516074882	0.8181818182	0.4424242424	0.3324963925
44	0.2482814978	0.8181818182	0.4424242424	0.3324963925
45	0.2447798328	0.8181818182	0.4424242424	0.3324963925
46	0.2414713581	0.8181818182	0.4424242424	0.3324963925
47	0.2380280839	0.8181818182	0.4424242424	0.3324963925
48	0.2348926203	0.8181818182	0.4424242424	0.3324963925
49	0.2319509564	0.8363636364	0.4424242424	0.3324963925
50	0.22746201	0.8363636364	0.4424242424	0.3324963925
51	0.2246685242	0.8363636364	0.4424242424	0.3324963925
52	0.222062647	0.8363636364	0.4424242424	0.3324963925
53	0.2194648174	0.8363636364	0.4424242424	0.3324963925
54	0.2158777043	0.8363636364	0.4424242424	0.3324963925
55	0.2135517731	0.8363636364	0.4424242424	0.3324963925
56	0.2107606084	0.8363636364	0.4424242424	0.3324963925
57	0.2086921197	0.8363636364	0.4424242424	0.3324963925
58	0.2061758212	0.8363636364	0.4424242424	0.3324963925
59	0.2041295076	0.8363636364	0.4424242424	0.3324963925
60	0.2017576815	0.8363636364	0.4424242424	0.3324963925
61	0.1993215202	0.8545454545	0.4424242424	0.3324963925
62	0.1976154185	0.8545454545	0.4424242424	0.3324963925
63	0.1943828006	0.8545454545	0.4424242424	0.3324963925
64	0.1923566866	0.8545454545	0.4424242424	0.3324963925
65	0.1904438178	0.8545454545	0.4424242424	0.3324963925
66	0.1884969444	0.8545454545	0.4424242424	0.3324963925
67	0.1869217653	0.8727272727	0.4424242424	0.3324963925
68	0.1855009738	0.8727272727	0.4424242424	0.3324963925
69	0.1835668565	0.8545454545	0.4424242424	0.3324963925
70	0.1819399187	0.8545454545	0.4424242424	0.3324963925
71	0.1804796924	0.8545454545	0.4424242424	0.3324963925
72	0.177843016	0.8545454545	0.4424242424	0.3324963925
73	0.1769534339	0.8545454545	0.4424242424	0.3324963925
74	0.175418572	0.8545454545	0.4424242424	0.3324963925
75	0.1737530145	0.8727272727	0.4424242424	0.3324963925
76	0.172247251	0.8727272727	0.4424242424	0.3324963925
77	0.1708550675	0.8727272727	0.4424242424	0.3324963925
78	0.1691227725	0.8727272727	0.4424242424	0.3324963925
79	0.1677404998	0.8727272727	0.4424242424	0.3324963925
80	0.1661191584	0.8727272727	0.4424242424	0.3324963925
81	0.1645036756	0.8727272727	0.4424242424	0.3324963925
82	0.1634061022	0.8727272727	0.4424242424	0.3324963925
83	0.1619394879	0.8727272727	0.4424242424	0.3324963925
84	0.1605001061	0.8727272727	0.4424242424	0.3324963925
85	0.1594049019	0.8727272727	0.4424242424	0.3324963925
86	0.1582483549	0.8727272727	0.4424242424	0.3324963925
87	0.1570509	0.8727272727	0.4424242424	0.3324963925
88	0.1559209387	0.8727272727	0.4424242424	0.3324963925
89	0.1547122169	0.8727272727	0.4424242424	0.3324963925
90	0.1533936087	0.8909090909	0.4424242424	0.3324963925
91	0.1525160245	0.8909090909	0.4424242424	0.3324963925
92	0.1514066818	0.8909090909	0.4424242424	0.3324963925
93	0.1500761754	0.8909090909	0.4424242424	0.3324963925
94	0.1489314372	0.8727272727	0.4424242424	0.3324963925
95	0.1477850904	0.8727272727	0.4424242424	0.3324963925
96	0.1465820115	0.8909090909	0.4424242424	0.3324963925
97	0.1454906081	0.8909090909	0.4424242424	0.3324963925
98	0.1440568278	0.8909090909	0.4424242424	0.3324963925
99	0.1429902785	0.8727272727	0.4424242424	0.3324963925
